01:07:39.762166 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=54 is delayed for 200µs
01:07:39.762497 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=54 is delivered
01:07:39.767339 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 3.4ms
01:07:39.770546 [queue=2] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 3ms
01:07:39.770940 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.773803 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.775698 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 4.75ms
01:07:39.780621 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.780795 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 4.15ms
01:07:39.783365 [queue=2] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delayed for 3.1ms
01:07:39.784612 [queue=3] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 2.25ms
01:07:39.785160 [queue=2] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.786740 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delivered
01:07:39.787016 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.792625 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delayed for 4.75ms
01:07:39.797554 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delivered
01:07:39.797677 [queue=1] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=588 is delayed for 1.25ms
01:07:39.797727 [queue=2] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delayed for 4.3ms
01:07:39.799112 [queue=1] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=588 is delivered
01:07:39.802259 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delivered
01:07:39.802468 [queue=1] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=588 is delayed for 2ms
01:07:39.804698 [queue=2] packet #1, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=0 is delayed for 4.5ms
01:07:39.804879 [queue=1] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=588 is delivered
01:07:39.809408 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=0 is delivered
01:08:28.584800 config: drop-rate=0.00, max-delay=0s, seed=1553922508584761210
01:08:28.585107 router is listening at :3000
01:08:33.834083 [queue=0] packet #0, 127.0.0.1:51794 -> 127.0.0.1:8080, sz=54 is delivered
01:08:33.834518 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=54 is delivered
01:08:33.839005 [queue=0] packet #1, 127.0.0.1:51794 -> 127.0.0.1:8080, sz=0 is delivered
01:08:33.860792 [queue=0] packet #1, 127.0.0.1:51794 -> 127.0.0.1:8080, sz=0 is delivered
01:08:33.865521 [queue=0] packet #1, 127.0.0.1:51794 -> 127.0.0.1:8080, sz=0 is delivered
01:08:33.869118 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=588 is delivered
01:08:33.881763 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=588 is delivered
01:08:33.881914 [queue=0] packet #0, 127.0.0.1:51794 -> 127.0.0.1:8080, sz=588 is delivered
01:08:33.884065 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=0 is delivered
01:08:33.886608 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=0 is delivered
01:08:33.888161 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=0 is delivered
01:08:33.901476 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=0 is delivered
01:08:33.903254 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51794, sz=0 is delivered
01:20:43.271061 [queue=0] packet #0, 127.0.0.1:42031 -> 127.0.0.1:8080, sz=54 is delivered
