23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
18:49:56.839102 [queue=0] packet #0, 192.168.0.129:64026 -> 192.168.0.129:3000, sz=18 is delivered
18:49:56.840102 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:64026, sz=18 is delivered
18:53:49.817139 [queue=0] packet #0, 192.168.0.129:52634 -> 192.168.0.129:8080, sz=18 is delivered
18:55:02.998292 [queue=0] packet #0, 192.168.0.129:52636 -> 192.168.0.129:8080, sz=18 is delivered
18:55:21.042640 [queue=0] packet #0, 192.168.0.129:53669 -> 192.168.0.129:3000, sz=18 is delivered
18:55:21.045639 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:53669, sz=18 is delivered
18:55:56.202407 [queue=0] packet #0, 192.168.0.129:53670 -> 192.168.0.129:3000, sz=18 is delivered
18:55:56.212012 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:53670, sz=18 is delivered
19:25:58.160391 [queue=0] packet #0, 192.168.0.129:62797 -> 192.168.0.129:3000, sz=18 is delivered
19:25:58.164465 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:62797, sz=18 is delivered
19:55:49.517281 [queue=0] packet #0, 192.168.0.129:63620 -> 192.168.0.129:3000, sz=18 is delivered
19:55:49.519276 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:63620, sz=18 is delivered
19:56:06.305141 [queue=0] packet #0, 192.168.0.129:63621 -> 192.168.0.129:8080, sz=18 is delivered
19:58:55.822317 [queue=0] packet #0, 192.168.0.129:51507 -> 192.168.0.129:8080, sz=18 is delivered
19:58:55.939273 [queue=0] packet #0, 192.168.0.129:8080 -> 192.168.0.129:51507, sz=18 is delivered
20:00:03.830265 [queue=0] packet #0, 192.168.0.129:56386 -> 192.168.0.129:8080, sz=18 is delivered
20:00:03.837984 [queue=0] packet #0, 192.168.0.129:8080 -> 192.168.0.129:56386, sz=18 is delivered
20:00:14.526498 [queue=0] packet #0, 192.168.0.129:56388 -> 192.168.0.129:8080, sz=18 is delivered
20:00:14.535326 [queue=0] packet #0, 192.168.0.129:8080 -> 192.168.0.129:56388, sz=18 is delivered
20:00:37.600083 [queue=0] packet #0, 192.168.0.129:56391 -> 192.168.0.129:8080, sz=18 is delivered
20:00:37.626536 [queue=0] packet #0, 192.168.0.129:8080 -> 192.168.0.129:56391, sz=18 is delivered
12:49:26.963036 config: drop-rate=0.00, max-delay=0s, seed=1552927766963036600
12:49:26.965036 router is listening at :3000
12:50:17.665675 config: drop-rate=0.00, max-delay=0s, seed=1552927817665675100
12:50:17.666759 router is listening at :3000
12:51:46.678979 config: drop-rate=100.00, max-delay=0s, seed=1552927906677980600
12:51:46.680983 router is listening at :3000
12:52:42.557931 [queue=0] packet #0, 172.30.108.235:54316 -> 172.30.108.235:8080, sz=18 is dropped
